str_Name	str_Album	lng_Track_Number	str_Genre	lng_Total_Time	lng_Size
"Hey Jude
Sgt. Pepper's Lonely Hearts Club Band (Reprise)"	LOVE	24	Pop	320914	5159544
Lady Madonna	LOVE	18	Pop	175568	2833973
"Come Together
Dear Prudence
Cry Baby Cry [Transition]"	LOVE	20	Pop	285100	4586533
Julia [Transition]	LOVE	4	Pop	37694	627989
Gnik Nus	LOVE	8	Pop	54360	894655
"Blackbird
Yesterday"	LOVE	13	Folk	152346	2462434
"Get Back
Glass Onion"	LOVE	2	Rock	212271	3421232
I Want to hold your hand	LOVE	6	Pop	89182	1451793
Help!	LOVE	12	Pop	138553	2241718
All You Need Is Love	LOVE	25	Pop	219245	3532826
Something	LOVE	9	Pop	173714	2804294
Eleanor Rigby	LOVE	3	Pop	152346	2462406
"Being For The Benefit Of Mr. Kite!
I Want You (She's So Heavy)
Helter Skelter"	LOVE	11	Pop	202762	3269151
A Day In The Life	LOVE	23	Pop	332251	5340915
I am the Walrus	LOVE	5	Rock	267154	4299340
"Drive My Car
The Word
What You're Doing"	LOVE	7	Pop	115487	1872701
"Revolution
Back In The U.S.S.R."	LOVE	21	Rock	248737	4004697
Lucy In The Sky With Diamonds	LOVE	16	Pop	259735	4180654
Because	LOVE	1	Pop	133198	2156055
"Octopus's Garden
Sun King [Transition]"	LOVE	17	Pop	230765	3717164
While My Guitar Gently Weeps	LOVE	22	Pop	202422	3263651
"Within You Without You
Tomorrow Never Knows"	LOVE	15	Pop	153521	2481246
"Here Comes The Sun
The Inner Light [Transition]"	LOVE	19	Folk	259996	4184852
Blue Jay Way [Transition]	LOVE	10	Pop	36858	614620
Strawberry Fields Forever	LOVE	14	Pop	263157	4235403
