str_Name	str_Album	lng_Track_Number	strLyrics
She Loves You [Mono]	"Past Masters, Vol. 1"	4	"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah, yeah"
Eight Days A Week	Beatles For Sale	8	"Eight days a week
I love you.
Eight days a week
Is not enough to show I care."
Ticket To Ride	Help!	7	"She's got a ticket to ri-hide,
She's got a ticket to ri-hi-hide,
She's got a ticket to ride,
But she don't care."
Strawberry Fields Forever	Magical Mystery Tour	8	"Let me take you down, 'cos I'm going to Strawberry Fields.
Nothing is real and nothing to get hungabout.
Strawberry Fields forever."
Get Back	Let It Be	12	"Get back, get back.
Get back to where you once belonged
Get back, get back.
Get back to where you once belonged."
